categoria,parametro,estimacion,ic_low,ic_high,metodo,estabilidad
bootstrap,media_age,41.17009511170095,40.85467263879673,41.467617783676175,bootstrap percentil,robusto
bootstrap,media_balance,1422.6578190665782,1336.1331619110817,1512.2475282017253,bootstrap percentil,robusto
bootstrap,media_campaign,2.793629727936297,2.7033786772837867,2.8885202388852025,bootstrap percentil,robusto
bootstrap,mediana_balance,444.0,420.0,474.0,bootstrap percentil,robusto
bootstrap,mediana_duration,185.0,179.0,192.0,bootstrap percentil,robusto
bootstrap,cohen_d_duration,1.3710526202949995,1.2317874043944985,1.5164997652415768,bootstrap percentil (por grupo),robusto
bootstrap,cramer_v_poutcome,0.29252933209523646,0.24723476789941812,0.33811204107916115,bootstrap percentil,robusto - efecto mas fuerte
permutacion,diff_media_duration_y,326.39530230326295,,,permutacion (p=0.0),robusto
correlacion,pdays-previous,0.578,0.543,0.617,bootstrap de pares,robusta
correlacion,age-balance,0.084,0.053,0.114,bootstrap de pares,robusta
correlacion,campaign-duration,-0.068,-0.097,-0.037,bootstrap de pares,robusta
correlacion,campaign-pdays,-0.093,-0.11,-0.076,bootstrap de pares,robusta
correlacion,balance-duration,-0.016,-0.035,0.005,bootstrap de pares,inestable
monte_carlo,suscriptores_no_dirigida,45.4621,33.0,58.024999999999636,Monte Carlo binomial,convergente
monte_carlo,suscriptores_dirigida,321.6262,301.0,343.0,Monte Carlo binomial,convergente
monte_carlo,diferencia_suscriptores,276.1641,252.0,300.0,Monte Carlo binomial,convergente
robustez,media_balance_sin_outliers,1220.0178770949722,1160.9683240223465,1281.3933631284915,bootstrap sin top 1%,sensible a outliers
robustez,jackknife_se_balance,44.760716388444955,,,jackknife,referencia
